NIVEAU DE RUPTURE;INDICATEUR FIN DE PAGE;NCID;NOMMAGASIN NOMMAG ASIN;NCDE;QCDUID TOTAL;DCDE;DCRE;TYFC;TYCM
1;;368;CIV SADIGUIBA (P) SYST U;36927;8831.0;260606;260609;G;GPV
1;;354;CIV TOIT ROUGE (P);47140;2109.0;260607;260609;G;GPV
1;;354;CIV TOIT ROUGE (P);47141;519.0;260607;260609;G;GPV
1;;368;CIV SADIGUIBA (P) SYST U;36929;1084.0;260607;260609;G;GPV
1;;376;CIV SICOGI (P);37251;3177.0;260607;260609;G;GPV
1;;415;CIV U M'BADON (P);16793846;332.0;260607;260609;G;AST
1;;035;HYPER HAYAT;342636;96.0;260608;260609;P;GPV
1;;035;HYPER HAYAT;342635;1155.0;260608;260609;G;GPV
1;;035;HYPER HAYAT;342632;456.0;260608;260609;G;GPV
1;;080;MANDARINE MARCORY;122691;725.0;260608;260609;G;GPV
1;;080;MANDARINE MARCORY;122690;9383.0;260608;260609;P;GPV
1;;080;MANDARINE MARCORY;122689;15444.0;260608;260609;G;GPV
1;;080;MANDARINE MARCORY;122688;1090.0;260608;260609;G;GPV
1;;080;MANDARINE MARCORY;122687;2982.0;260608;260609;G;GPV
1;;080;MANDARINE MARCORY;122686;4639.0;260608;260609;G;GPV
1;;080;MANDARINE MARCORY;122684;8181.0;260608;260609;G;GPV
1;;080;MANDARINE MARCORY;122683;4784.0;260608;260609;G;GPV
1;;100;CASINO 2 PLATEAUX;277897;178.0;260608;260609;G;GPV
1;;100;CASINO 2 PLATEAUX;277883;182.0;260608;260609;P;GPV
1;;100;CASINO 2 PLATEAUX;277882;170.0;260608;260609;P;GPV
1;;100;CASINO 2 PLATEAUX;277880;708.0;260608;260609;G;GPV
1;;100;CASINO 2 PLATEAUX;277878;779.0;260608;260609;G;GPV
1;;100;CASINO 2 PLATEAUX;277869;1243.0;260608;260609;G;GPV
1;;100;CASINO 2 PLATEAUX;277856;2000.0;260608;260609;G;GPV
1;;100;CASINO 2 PLATEAUX;277892;3518.0;260608;260609;G;GPV
1;;100;CASINO 2 PLATEAUX;277884;185.0;260608;260609;G;GPV
1;;100;CASINO 2 PLATEAUX;277875;6751.0;260608;260609;G;GPV
1;;100;CASINO 2 PLATEAUX;277867;2019.0;260608;260609;G;GPV
1;;110;SUPER U VALLON;21812829;176.0;260608;260609;G;AST
1;;110;SUPER U VALLON;14524685;900.0;260608;260609;G;AST
1;;120;MANDARINE GOLF;209542;228.0;260608;260609;G;GPV
1;;230;CASINO PRIMA;32379819;903.0;260608;260609;G;AST
1;;230;CASINO PRIMA;21048580;364.0;260608;260609;G;AST
1;;230;CASINO PRIMA;84336737;18.0;260608;260609;P;AST
1;;235;SUPER U DJIBI;206882;349.0;260608;260609;G;GPV
1;;235;SUPER U DJIBI;206878;2075.0;260608;260609;G;GPV
1;;235;SUPER U DJIBI;206875;2244.0;260608;260609;G;GPV
1;;235;SUPER U DJIBI;206872;2350.0;260608;260609;G;GPV
1;;235;SUPER U DJIBI;206869;2239.0;260608;260609;P;GPV
1;;235;SUPER U DJIBI;206868;2477.0;260608;260609;P;GPV
1;;235;SUPER U DJIBI;206867;630.0;260608;260609;P;GPV
1;;235;SUPER U DJIBI;206866;1755.0;260608;260609;G;GPV
1;;235;SUPER U DJIBI;206865;2838.0;260608;260609;G;GPV
1;;235;SUPER U DJIBI;206862;3075.0;260608;260609;P;GPV
1;;235;SUPER U DJIBI;206861;63.0;260608;260609;P;GPV
1;;235;SUPER U DJIBI;206856;2666.0;260608;260609;G;GPV
1;;235;SUPER U DJIBI;206855;8898.0;260608;260609;G;GPV
1;;235;SUPER U DJIBI;206854;1318.0;260608;260609;G;GPV
1;;235;SUPER U DJIBI;206860;468.0;260608;260610;P;GPV
1;;250;GIFI ZONE 4;11838;4943.0;260608;260609;G;GPV
1;;250;GIFI ZONE 4;11837;2713.0;260608;260609;G;GPV
1;;250;GIFI ZONE 4;11836;5059.0;260608;260609;G;GPV
1;;250;GIFI ZONE 4;11835;1742.0;260608;260609;G;GPV
1;;250;GIFI ZONE 4;11834;6481.0;260608;260609;G;GPV
1;;250;GIFI ZONE 4;11833;2342.0;260608;260609;G;GPV
1;;250;GIFI ZONE 4;11832;6263.0;260608;260609;G;GPV
1;;250;GIFI ZONE 4;11831;1650.0;260608;260609;G;GPV
1;;290;MANDARINE BIETRY;161567;1510.0;260608;260609;P;GPV
1;;290;MANDARINE BIETRY;161566;831.0;260608;260609;G;GPV
1;;292;MANDARINE KOUMASSI;32530268;4356.0;260608;260609;G;AST
1;;293;MANDARINE AMBASSADE;69004;409.0;260608;260609;P;GPV
1;;293;MANDARINE AMBASSADE;69003;1096.0;260608;260609;G;GPV
1;;293;MANDARINE AMBASSADE;69002;880.0;260608;260609;P;GPV
1;;293;MANDARINE AMBASSADE;69001;1954.0;260608;260609;G;GPV
1;;293;MANDARINE AMBASSADE;69000;855.0;260608;260609;P;GPV
1;;293;MANDARINE AMBASSADE;68999;1901.0;260608;260609;P;GPV
1;;293;MANDARINE AMBASSADE;68998;5138.0;260608;260609;G;GPV
1;;293;MANDARINE AMBASSADE;68997;7641.0;260608;260609;G;GPV
1;;293;MANDARINE AMBASSADE;68996;7529.0;260608;260609;G;GPV
1;;293;MANDARINE AMBASSADE;68995;1628.0;260608;260609;G;GPV
1;;293;MANDARINE AMBASSADE;68994;5600.0;260608;260609;G;GPV
1;;293;MANDARINE AMBASSADE;68993;1425.0;260608;260609;G;GPV
1;;293;MANDARINE AMBASSADE;68991;3023.0;260608;260609;G;GPV
1;;293;MANDARINE AMBASSADE;68990;5409.0;260608;260609;G;GPV
1;;295;CASINO ALLABRA;303303;25.0;260608;260609;P;GPV
1;;295;CASINO ALLABRA;303302;2000.0;260608;260609;G;GPV
1;;295;CASINO ALLABRA;303288;6.0;260608;260609;G;GPV
1;;295;CASINO ALLABRA;303285;90.0;260608;260609;P;GPV
1;;302;S2P HYPER U;299085;46.0;260608;260609;P;GPV
1;;302;S2P HYPER U;299084;164.0;260608;260609;P;GPV
1;;302;S2P HYPER U;299082;5810.0;260608;260609;G;GPV
1;;302;S2P HYPER U;299081;1188.0;260608;260609;G;GPV
1;;302;S2P HYPER U;299080;12350.0;260608;260609;P;GPV
1;;302;S2P HYPER U;299078;2298.0;260608;260609;P;GPV
1;;302;S2P HYPER U;299075;2431.0;260608;260609;G;GPV
1;;302;S2P HYPER U;299070;1896.0;260608;260609;G;GPV
1;;302;S2P HYPER U;299068;1661.0;260608;260609;G;GPV
1;;302;S2P HYPER U;299066;3808.0;260608;260609;G;GPV
1;;302;S2P HYPER U;299064;232.0;260608;260609;P;GPV
1;;302;S2P HYPER U;299063;8953.0;260608;260609;P;GPV
1;;302;S2P HYPER U;299062;1359.0;260608;260609;G;GPV
1;;302;S2P HYPER U;299061;6385.0;260608;260609;G;GPV
1;;302;S2P HYPER U;299060;5477.0;260608;260609;G;GPV
1;;302;S2P HYPER U;299059;3460.0;260608;260609;G;GPV
1;;302;S2P HYPER U;299057;1700.0;260608;260609;G;GPV
1;;302;S2P HYPER U;299056;606.0;260608;260609;G;GPV
1;;302;S2P HYPER U;299055;36.0;260608;260609;P;GPV
1;;302;S2P HYPER U;299054;162.0;260608;260609;P;GPV
1;;302;S2P HYPER U;299053;35.0;260608;260609;P;GPV
1;;302;S2P HYPER U;299052;24.0;260608;260609;P;GPV
1;;302;S2P HYPER U;299051;164.0;260608;260609;P;GPV
1;;302;S2P HYPER U;299050;6.0;260608;260609;P;GPV
1;;302;S2P HYPER U;299049;6.0;260608;260609;P;GPV
1;;302;S2P HYPER U;299048;192.0;260608;260609;G;GPV
1;;302;S2P HYPER U;299047;204.0;260608;260609;G;GPV
1;;302;S2P HYPER U;299045;296.0;260608;260609;G;GPV
1;;302;S2P HYPER U;299042;10907.0;260608;260609;G;GPV
1;;302;S2P HYPER U;299040;4.0;260608;260609;P;GPV
1;;307;S2P SOCOCE GAGNOA;19637;5564.0;260608;260609;G;GPV
1;;307;S2P SOCOCE GAGNOA;19636;14792.0;260608;260609;G;GPV
1;;309;S2P SUPERETTE SOCOCE BOUA;6129;19831.0;260608;260610;G;GPV
1;;309;S2P SUPERETTE SOCOCE BOUA;6130;4182.0;260608;260610;G;GPV
1;;312;S2P SOCOCE RIVIERA;28700;2730.0;260608;260609;G;GPV
1;;312;S2P SOCOCE RIVIERA;28699;6175.0;260608;260609;G;GPV
1;;312;S2P SOCOCE RIVIERA;28698;6694.0;260608;260609;G;GPV
1;;338;NESPRESSO SOCOCE DEUX PLA;261839;80.0;260608;260609;G;GPV
1;;338;NESPRESSO SOCOCE DEUX PLA;261838;20.0;260608;260609;G;GPV
1;;338;NESPRESSO SOCOCE DEUX PLA;261837;216.0;260608;260609;G;GPV
1;;338;NESPRESSO SOCOCE DEUX PLA;261836;2114.0;260608;260609;G;GPV
1;;353;CIV ANGRE (P);40530;4618.0;260608;260609;G;GPV
1;;353;CIV ANGRE (P);40529;606.0;260608;260609;G;GPV
1;;353;CIV ANGRE (P);40528;2007.0;260608;260609;G;GPV
1;;353;CIV ANGRE (P);40527;1295.0;260608;260609;G;GPV
1;;353;CIV ANGRE (P);40526;2085.0;260608;260609;G;GPV
1;;353;CIV ANGRE (P);40525;419.0;260608;260609;G;GPV
1;;353;CIV ANGRE (P);40524;955.0;260608;260609;G;GPV
1;;353;CIV ANGRE (P);40521;721.0;260608;260609;G;GPV
1;;353;CIV ANGRE (P);40520;1518.0;260608;260609;G;GPV
1;;353;CIV ANGRE (P);40519;4616.0;260608;260609;G;GPV
1;;353;CIV ANGRE (P);40518;5624.0;260608;260609;G;GPV
1;;353;CIV ANGRE (P);40517;38165.0;260608;260609;G;GPV
1;;353;CIV ANGRE (P);40516;3670.0;260608;260609;G;GPV
1;;353;CIV ANGRE (P);40515;520.0;260608;260609;G;GPV
1;;353;CIV ANGRE (P);40514;890.0;260608;260609;G;GPV
1;;353;CIV ANGRE (P);40513;7936.0;260608;260609;G;GPV
1;;354;CIV TOIT ROUGE (P);47161;1323.0;260608;260609;G;GPV
1;;354;CIV TOIT ROUGE (P);47160;5076.0;260608;260609;G;GPV
1;;354;CIV TOIT ROUGE (P);47181;364.0;260608;260609;G;GPV
1;;354;CIV TOIT ROUGE (P);47180;2021.0;260608;260609;G;GPV
1;;354;CIV TOIT ROUGE (P);47179;1877.0;260608;260609;G;GPV
1;;354;CIV TOIT ROUGE (P);47178;1672.0;260608;260609;G;GPV
1;;354;CIV TOIT ROUGE (P);47148;1336.0;260608;260609;G;GPV
1;;356;CIV COCODY (P);36085;3455.0;260608;260609;G;GPV
1;;356;CIV COCODY (P);36083;1211.0;260608;260609;P;GPV
1;;356;CIV COCODY (P);36082;838.0;260608;260609;G;GPV
1;;356;CIV COCODY (P);36079;2015.0;260608;260609;G;GPV
1;;356;CIV COCODY (P);36076;901.0;260608;260609;G;GPV
1;;356;CIV COCODY (P);36074;6799.0;260608;260609;G;GPV
1;;356;CIV COCODY (P);36070;2099.0;260608;260609;P;GPV
1;;356;CIV COCODY (P);36069;1664.0;260608;260609;G;GPV
1;;356;CIV COCODY (P);36067;7160.0;260608;260609;G;GPV
1;;356;CIV COCODY (P);36065;4122.0;260608;260609;G;GPV
1;;356;CIV COCODY (P);36064;3870.0;260608;260609;G;GPV
1;;356;CIV COCODY (P);36062;2317.0;260608;260609;G;GPV
1;;356;CIV COCODY (P);36061;1385.0;260608;260609;G;GPV
1;;356;CIV COCODY (P);36059;700.0;260608;260609;G;GPV
1;;356;CIV COCODY (P);36056;1627.0;260608;260609;G;GPV
1;;356;CIV COCODY (P);36033;2099.0;260608;260609;G;GPV
1;;356;CIV COCODY (P);36028;7703.0;260608;260609;G;GPV
1;;357;CIV U REMBLAIS (P);35309;8426.0;260608;260609;G;GPV
1;;357;CIV U REMBLAIS (P);35308;2591.0;260608;260609;G;GPV
1;;357;CIV U REMBLAIS (P);35307;1995.0;260608;260609;G;GPV
1;;357;CIV U REMBLAIS (P);35306;6411.0;260608;260609;G;GPV
1;;357;CIV U REMBLAIS (P);35310;6921.0;260608;260609;G;GPV
1;;357;CIV U REMBLAIS (P);35285;2585.0;260608;260609;G;GPV
1;;364;CIV KOUMASSI 7 DEC. (P);85795613;335.0;260608;260609;G;AST
1;;364;CIV KOUMASSI 7 DEC. (P);17303989;3312.0;260608;260609;G;AST
1;;364;CIV KOUMASSI 7 DEC. (P);25469165;6801.0;260608;260609;G;AST
1;;364;CIV KOUMASSI 7 DEC. (P);10498902;4616.0;260608;260609;G;AST
1;;368;CIV SADIGUIBA (P) SYST U;36939;2917.0;260608;260609;G;GPV
1;;372;CIV YOP MAROC (P);42964;53.0;260608;260609;G;GPV
1;;372;CIV YOP MAROC (P);42963;108.0;260608;260609;G;GPV
1;;372;CIV YOP MAROC (P);42962;1686.0;260608;260609;G;GPV
1;;372;CIV YOP MAROC (P);42961;313.0;260608;260609;G;GPV
1;;372;CIV YOP MAROC (P);42960;3254.0;260608;260609;G;GPV
1;;372;CIV YOP MAROC (P);42959;3909.0;260608;260609;G;GPV
1;;372;CIV YOP MAROC (P);42958;58.0;260608;260609;G;GPV
