NIVEAU DE RUPTURE;INDICATEUR FIN DE PAGE;NCID;NOMMAGASIN NOMMAG ASIN;NCDE;QCDUID TOTAL;DCDE;DCRE;TYFC;TYCM
1;;35;HYPER HAYAT;334472;334.0;260409;260410;G;GPV
1;;35;HYPER HAYAT;334469;530.0;260409;260410;G;GPV
1;;35;HYPER HAYAT;334468;30.0;260409;260410;G;GPV
1;;35;HYPER HAYAT;334463;400.0;260409;260410;P;GPV
1;;35;HYPER HAYAT;334460;72.0;260409;260410;P;GPV
1;;35;HYPER HAYAT;334456;1055.0;260409;260410;P;GPV
1;;35;HYPER HAYAT;334454;940.0;260409;260410;G;GPV
1;;35;HYPER HAYAT;334452;24.0;260409;260410;P;GPV
1;;35;HYPER HAYAT;334438;762.0;260409;260410;G;GPV
1;;80;MANDARINE MARCORY;120549;4224.0;260409;260410;G;GPV
1;;80;MANDARINE MARCORY;120548;6556.0;260409;260410;G;GPV
1;;100;CASINO 2 PLATEAUX;272143;158.0;260409;260410;G;GPV
1;;100;CASINO 2 PLATEAUX;272142;1632.0;260409;260410;P;GPV
1;;100;CASINO 2 PLATEAUX;272141;1000.0;260409;260410;G;GPV
1;;100;CASINO 2 PLATEAUX;272140;580.0;260409;260410;G;GPV
1;;100;CASINO 2 PLATEAUX;272139;236.0;260409;260410;G;GPV
1;;100;CASINO 2 PLATEAUX;272138;752.0;260409;260410;G;GPV
1;;100;CASINO 2 PLATEAUX;272136;2228.0;260409;260410;G;GPV
1;;100;CASINO 2 PLATEAUX;272135;124.0;260409;260410;G;GPV
1;;201;OENOPHILE ZINO PLATEAU;261106;139.0;260409;260410;G;GPV
1;;235;SUPER U DJIBI;202297;260.0;260409;260410;G;GPV
1;;235;SUPER U DJIBI;202284;247.0;260409;260410;G;GPV
1;;250;GIFI ZONE 4;11440;22750.0;260409;260410;G;GPV
1;;250;GIFI ZONE 4;11439;29075.0;260409;260410;G;GPV
1;;295;CASINO ALLABRA;296880;206.0;260409;260410;G;GPV
1;;295;CASINO ALLABRA;296879;56.0;260409;260410;P;GPV
1;;295;CASINO ALLABRA;296878;535.0;260409;260410;G;GPV
1;;295;CASINO ALLABRA;296877;2393.0;260409;260410;G;GPV
1;;295;CASINO ALLABRA;296754;2248.0;260409;260410;G;GPV
1;;353;CIV ANGRE (P);39429;178.0;260409;260410;G;GPV
1;;371;CIV ANANERAIE (P);16753;11395.0;260409;260410;G;GPV
