Numéro;Dépôt de destination;Dépôt d'origine;Date;Observation;Transfert entre dépôt;Exportée;Code du client;Code du dépôt;Date de livraison prévue
DIV-261169;OENOPHILE 2 PLTX LATRILLE;Divers;14/04/2026;COMMANDE DE BAZAR;;Coché;;DIV;
DIV-261167;Œnophile Yop;Divers;14/04/2026;COMMANDE COMPLEMENTAIRE SIROP;;Coché;;DIV;
DIV-261168;OENOPHILE 2 PLTX LATRILLE;Divers;14/04/2026;COMMANDE DE VINS ET D'ALCOOLS;;Coché;;DIV;
DIV-261166;Boutique Nespresso Cap Sud;Divers;14/04/2026;;;Coché;;DIV;
DIV-261165;Œnophile Yop;Divers;14/04/2026;COMMANDE DEVINS;;Coché;;DIV;
DIV-261164;Œnophile Yop;Divers;14/04/2026;COMMANDE DE BAZAR;;Coché;;DIV;
DIV-261161;BOUTIQUE NESPRESSO CAP NORD;Divers;14/04/2026;commandes;;Coché;;DIV;
DIV-261162;Œnophile Yop;Divers;14/04/2026;COMMANDE DE VINS ET DE SPIRITUEUX;;Coché;;DIV;
DIV-261160;Boutique Nespresso Djibi;Divers;14/04/2026;COMMANDE BAZAR;;Coché;;DIV;
DIV-261158;Boutique Nespresso Djibi;Divers;14/04/2026;COMMANDE CAFE;;Coché;;DIV;
DIV-261156;Œnophile 2 Plateaux;Divers;14/04/2026;COMMANDE DE BAZARD;;Coché;;DIV;
DIV-261159;Œnophile Djibi;Divers;14/04/2026;VINS ET SPIRITUEUX;;Coché;;DIV;
DIV-261154;NESPRESSO NOUR AL HAYAT;Divers;14/04/2026;;;Coché;;DIV;
DIV-261163;Œnophile ALLABRA;Divers;14/04/2026;COMMANDE DU 14/04/2026;;Coché;;DIV;
DIV-261152;Boutique Nespresso Cap Sud;Divers;14/04/2026;;;Coché;;DIV;
DIV-261155;Œnophile 2 Plateaux;Divers;14/04/2026;COMMANDE DU 14/04/2026;;Coché;;DIV;
DIV-261150;OENOPHILE ZONE 3;Divers;14/04/2026;COMMANDES REASSORT ;;Coché;;DIV;
DIV-261151;Boutique Nespresso Cap Sud;Divers;14/04/2026;;;Coché;;DIV;
DIV-261157;BOUTIQUE NESPRESSO II PLATEAUX;Divers;14/04/2026;COMMANDE CAFE/BAZAR;;Coché;;DIV;
DIV-261153;OENOPHILE SOL BENI;Divers;14/04/2026;COMMANDE DE LIQUIDE;;Coché;;DIV;
DIV-261149;NESPRESSO NOUR AL HAYAT;Divers;13/04/2026;;;Coché;;DIV;
DIV-261148;Boutique Nespresso Cap Sud;Divers;13/04/2026;;;Coché;;DIV;
DIV-261147;OENOPHILE ZONE 3;Divers;13/04/2026;COMMANDE REASSORT ;;Coché;;DIV;
DIV-261145;Œnophile Zone 4;Divers;13/04/2026;COMPLEMENT LIQUIDES;;Coché;;DIV;
DIV-261146;OENOPHILE ZONE 3;Divers;13/04/2026;COMMANDE RESSORT ;;Coché;;DIV;
DIV-261144;Œnophile Zone 4;Divers;13/04/2026;COMMANDE STOCK LIQUIDES POUR LE MARDI 14;;Coché;;DIV;
DIV-261142;Œnophile Grand-Bassam;Divers;13/04/2026;COMMPLEMENT CAFE NESPRESSO;;Coché;;DIV;
DIV-261141;Œnophile Grand-Bassam;Divers;13/04/2026;COMMANDE NESPRESSO;;Coché;;DIV;
DIV-261143;Œnophile Sococe 2 Plateaux;Divers;13/04/2026;COMMANDE DE VINS ET SPIRITUEUX;;Coché;;DIV;
DIV-261139;NESPRESSO NOUR AL HAYAT;Divers;13/04/2026;;;Coché;;DIV;
DIV-261138;Œnophile Cap Sud;Divers;13/04/2026;COMMANDE COMPLEMENTAIRE DE VIN SPIRITUEUX DU LUNDI 13/04/2026;;Coché;;DIV;
DIV-261137;Boutique Nespresso Cap Sud;Divers;13/04/2026;;;Coché;;DIV;
DIV-261140;Œnophile Grand-Bassam;Divers;13/04/2026;COMMANDES LIQUIDES;;Coché;;DIV;
DIV-261136;BOUTIQUE NESPRESSO CAP NORD;Divers;13/04/2026;COMMANDES;;Coché;;DIV;
DIV-261135;Œnophile Cap Sud;Divers;13/04/2026;COMMANDE DE VINS ET SPIRITUEUX DU LUNDI 13 AVRIL 2026;;Coché;;DIV;
